Bangla,Chittagong
"জাল-বড়শি নিয়ে যাই, মুড়ি-চিড়া সাথে থাকে","জাল-বরকি লয় যায়,মুড়ি -চোড় ওয়ারে থাগে"
বাজারের কোন দোকানে চা ভালো?,বাজারত হন দোআনত চা ভালা লাগে দে?
কোথায় ঘুরতে ভালোলাগে?,হডে ঘুইত্তু গম লাগে দে?
মসজিদে যাবেন?,মসদুত যাইবেন না?
প্রকৃতির মাঝে,প্রকৃতির মাঝে/মধ্যে
কিভাবে সময় কাটান?,সম কেন গরি শেষ গর দে?
মাটির উনুন,"অয়অ,মেডির চুলঅ"
ফোনটা বাজে?,ফোন ইবে বাজের না ?
দেশি ফ্যাশন কি পছন্দ?,দেশি ফ্যাশন কি সুন্দর লাগে না?
হারানো দিনগুলি।,ফেলায় আইসসি দিন ইয়িন ।
মাছের ঝোল।,মাছর ঝোল।
বসার ঘরের টেবিলে,বইয়ি দে ঘরর টেবিলুত
আপনার কি ডিভিডি প্লেয়ার আছে?,অনত্তে কি ডিভিডি প্লেয়ার আছে না?
"নারকেল কুরে দিয়ে, পাঁচফোড়ন দিয়ে ফোড়ন দিই","নাইরকুলুর গুরি দি,পাচপোড়ন দি"
কোন ধরনের গল্প শুনতে ভালো লাগে?,হন ডইল্লে কিস্তে ওইনতু গম লাগে দে?
কিভাবে বাগান করা শিখলেন?,বাগান গরনি শিক্কুন দে কেনে?
কোথায় হাঁটতে যান?,আটিবেল্লায় হডে যন দে?
শেষ দশকে।,শেষ দশকত ।
"না, আজ হরতাল আছে","না,আজিয়ে এসটাইক আছে"
সেমিনার লাইব্রেরি। চুপচাপ পড়া যায়,সেমিনার লাইব্রেরিত নিজেপত পড়া যায়
কোন চ্যানেল দেখছেন?,হন চ্যানেল চাইতেলাইগ্গুন ?
মূল দরজায়,মেন দরজাত
আজকে কি মার্কেট খুলবে?,আজিয়ে কি মার্কেট খুলিবু না?
আজকে বিকেলে কি করছো?,আজিয়ে বিয়েলে কি গইজ্জু?
কার সাথে আড্ডা জমে?,হার লয় গফ মাইত্তু গম লাগে দে?
কোন রকম আবহাওয়া ভালোলাগে?,হনডইল্লে আবহাওয়া গম লাগে দে?
ফুলের বাগানে,ফুলুর বাগানত
তোর এলাকার নতুন পার্কটা কেমন?,তোর এলাহা নোয়া পার্ক ইয়েন কেন?
"প্রতিদিন সকালে উঠে, নিয়ম মেনে যত্ন নিয়ে","পইত্তেন বেয়িন্নে উডিয়েরে,নিয়ুম মানিয়েরে যত্তন লয়"
সুন্দরবন কুরিয়ারে,সুন্দরবন কুরিয়ারে।
বাইরে যাবেন নাকি?,বাদ্দি যাইবেন না?
পুকুরে কারা মাছ ধরে?,পইরুত হনে মাছ ধরে দে?
"হ্যাঁ, রাতে ডাকে","অয়অ,রাতিয়ে ডাহে"
"আপু, হোমওয়ার্কটা বুঝিয়ে দিবেন?",আফু হোমওয়ার্ক ইয়েন এক্কানা বুঝয় দিবেন না?
কোন রকম বাগান করতে চান?,হন ডইল্লে বাগান গইত্তু মনে হয় দে?
কোন এরিয়ায় অফিস ভাড়া কম?,হন এরিয়েত অফিস ভাড়া হম দে?
টেবিলের উপরে।,টেবিলুর উদ্দি ।
পুরনো বাড়িগুলো কেমন লাগে?,পুরন বাড়ি ইয়িন কেন লাগে?
